id,type,question,model_answer,category
1,objective,What is the MITRE ATT&CK technique ID for 'Exploit Public-Facing Application'?,The MITRE ATT&CK technique ID for 'Exploit Public-Facing Application' is T1190. This is directly stated in the context provided.,web
2,objective,What is the recommended mitigation for T1190 (Exploit Public-Facing Application)?,"The recommended mitigation for T1190 (Exploit Public-Facing Application) involves regularly scanning externally facing systems for vulnerabilities and establishing procedures to rapidly patch systems when critical vulnerabilities are discovered. This can be supported by the technique ID M1016, which suggests Vulnerability Scanning as a method to detect and mitigate such exploits.",web
3,objective,What detection methods exist for T1078 (Valid Accounts)?,"I cannot find this in the provided knowledge base.

The context provided does not explicitly mention specific detection methods for T1078 (Valid Accounts). However, it can be inferred that regular auditing and user training could be relevant. Specifically:

- M1018 User Account Management: Regularly audit user accounts for activity and deactivate or remove any that are no longer needed.
- M1017 User Training: Applications may send push notifications to verify a login as a form of multi-factor authentication (MFA). Train users to only accept valid push notifications and to report suspicious push notifications.

These techniques indirectly support the detection of valid accounts being misused but are not explicitly listed under T1078.",cloud
4,objective,What platforms are affected by T1078 (Valid Accounts)?,"I cannot find this in the provided knowledge base.

The context provided does not specify which platforms are directly affected by the Valid Accounts technique (T1078). It describes various techniques and campaigns where valid accounts were used, but it does not explicitly state the platforms involved. Therefore, based on the given information, I cannot determine which platforms are affected by T1078.",cloud
5,objective,Describe Phishing (T1566) in one paragraph.,"Phishing (T1566) involves attackers using deceptive emails or messages to trick individuals into divulging sensitive information or downloading malware. This technique is widely employed by various threat actors such as AppleJeus, Axiom, GOLD SOUTHFIELD, Hikit, INC Ransom, Royal, Sea Turtle, and VOID MANTICORE. For instance, AppleJeus and Axiom have used spear phishing to target specific victims, while GOLD SOUTHFIELD and INC Ransom have conducted malspam campaigns. Additionally, Royal has employed call-back phishing, where victims are lured into contacting a provided number, and VOID MANTICORE has used phishing to gain initial access. Phishing attacks can be delivered via SaaS services, where malicious URLs or attachments are included in messages. To mitigate these threats, it is crucial to detect anomalous link clicks, suspicious file uploads, or token misuse after SaaS-based phishing attempts. Technique IDs supporting this description include G1049, G0001, G0115, G1032, S0009, G1055, G1041, and AN0193.",social
6,objective,What data sources are needed to detect Phishing (T1566)?,"To detect phishing (T1566), the following data sources are needed based on the provided context:

- Email metadata (G1049, G0001, G0115, G1032, S0009, AN0193)
- File creation activities (AN0188, AN0189, AN0190, AN0191)
- Network activity (AN0188, AN0189, AN0190, AN0191)
- Process execution (AN0188, AN0190, AN0191)

These data sources help in correlating email metadata, file creation, and network activity after a phishing message is received, which is crucial for detecting phishing activities (AN0188, AN0189). Additionally, monitoring for malicious payload delivery through phishing (AN0190, AN0191) and identifying unusual file creation or outbound network connections (AN0189) are also important.",social
7,objective,What is the description of technique T1059?,"The description of technique T1059, Command and Scripting Interpreter, includes examples of how various APT groups have used this technique. Specifically, it mentions:

- APT19 downloaded and launched code within an SCT file.
- APT32 used COM scriptlets to download Cobalt Strike beacons.
- APT37 used Ruby scripts to execute payloads.
- APT39 utilized custom scripts for internal reconnaissance.

This technique involves the use of command-line interpreters or scripting languages to run malicious code or scripts on a system. The technique IDs supporting this description are T1059.",network
8,objective,List the mitigations available for T1059 (Command and Scripting Interpreter).,"The following mitigations are available for T1059 (Command and Scripting Interpreter):

- M1047: Audit Inventory systems for unauthorized command and scripting interpreter installations.
- M1040: Behavior Prevention on Endpoint - On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent Visual Basic and JavaScript scripts from executing potentially malicious downloaded content.
- M1045: Code Signing - Where possible, only permit execution of signed scripts.
- M1042: Disable or Remove Feature or Program - Disable or remove any unnecessary command and scripting interpreters.

These mitigations are supported by the following technique IDs from the context:

- M1047: Technique ID C0046
- M1040: Technique ID G0073, G0050, G0067, G0087
- M1045: Technique ID G0073, G0050, G0067, G0087
- M1042: Technique ID G0073, G0050, G0067, G0087",network
9,objective,What tactics is T1550 (Use Alternate Authentication Material) associated with?,"T1550 (Use Alternate Authentication Material) is associated with tactics used to bypass multi-factor authentication (MFA) and gain unauthorized access to systems or services. This technique involves the use of stolen Kerberos tickets or token impersonation to create logon sessions from accounts without expected interactive logon events. It can also involve the use of forged SAML tokens to impersonate users and bypass MFA.

The technique IDs supporting this answer are:
- DET0338: Behavioral Detection Strategy for Use Alternate Authentication Material (T1550)
- G1048: UNC3886 has used tools to hijack valid SSH accounts (related to T1550)
- G1055: VOID MANTICORE has leveraged valid accounts to log into VPN infrastructure (related to T1550)
- G1055: VOID MANTICORE has used compromised valid credentials to gain access to management infrastructure and enterprise control systems (related to T1550)",network
10,objective,Are there any known examples of Use Alternate Authentication Material (T1550) being used by adversaries?,"Yes, there are known examples of Use Alternate Authentication Material (T1550) being used by adversaries. For instance, during the SolarWinds compromise, APT29 used forged SAML tokens to impersonate users and bypass Multi-Factor Authentication (MFA), allowing them to access enterprise cloud applications and services. This technique is also referred to as S0661 in the context.

Technique IDs supporting this answer: T1550, S0661.",network
11,subjective,"As a web application security engineer, what techniques should I prioritize defending against for a public-facing e-commerce site? Consider T1190 (Exploit Public-Facing Application).","As a web application security engineer, you should prioritize defending against the following techniques to protect a public-facing e-commerce site:

1. **Regularly scan externally facing systems for vulnerabilities** - This helps identify potential weaknesses before they can be exploited. Use techniques like M1016 to establish procedures for rapid patching of critical vulnerabilities discovered through scanning or public disclosure.

2. **Implement robust patch management** - Ensure that all externally exposed applications are regularly updated to address known vulnerabilities. This is crucial to prevent exploitation of known issues such as those highlighted in the OWASP top 10 and CWE top 25.

These techniques are supported by the following technique IDs from the context:

- **M1016 Vulnerability Scanning**: Regularly scan externally facing systems for vulnerabilities and establish procedures to rapidly patch systems when critical vulnerabilities are discovered through scanning and through public disclosure.
- **T1190 Exploit Public-Facing Application**: Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network. This includes exploiting common web-based vulnerabilities and misconfigurations.

By focusing on these areas, you can enhance the security posture of your e-commerce site and reduce the risk of being exploited through public-facing applications.",web
12,subjective,"A SOC analyst notices unusual API calls from a compromised IAM key. What ATT&CK techniques might be in play, and how would Valid Accounts (T1078) feature in this scenario?","The scenario involving unusual API calls from a compromised IAM key could involve several ATT&CK techniques, including those related to credential access and lateral movement. 

One relevant technique is **Valid Accounts (T1078)**, where adversaries use valid credentials to gain access to systems. In this case, the compromised IAM key likely represents valid credentials that the adversary is using to make unauthorized API calls.

To address this, organizations should implement measures such as **token binding strategies** (M1047), which can help ensure that tokens are only used with the intended device or application, thereby reducing the risk of unauthorized use of valid credentials.

The technique IDs supporting this answer are **T1078**.",cloud
13,subjective,"How would an attacker use phishing (T1566) to gain initial access, and what subsequent techniques might they use for execution?","An attacker can use phishing (T1566) to gain initial access by sending deceptive emails or messages that trick victims into providing sensitive information or clicking on malicious links or attachments. This can lead to the installation of malware or the compromise of legitimate credentials.

After gaining initial access, attackers may employ various techniques for execution, such as:

- **G0007 APT28**: Using stolen credentials to gain initial access, maintain access, and exfiltrate data from a victim network.
- **G0026 APT18**: Leveraging legitimate credentials to log into external remote services.
- **G0087 APT39**: Using stolen credentials to access internal APIs, database systems, container registries, and logging infrastructure across targeted networks.

These techniques allow the attackers to maintain persistence and carry out their malicious activities within the network.",social
