id,type,question,category,hallucination_score,judge_notes
1,objective,What is the MITRE ATT&CK technique ID for 'Exploit Public-Facing Application'?,web,0,Correct ID T1190 matches KB exactly
2,objective,What is the recommended mitigation for T1190 (Exploit Public-Facing Application)?,web,2,Only ~3 of 10 listed items match KB's actual mitigation list (M1048/M1050/M1037/M1035/M1030/M1026/M1051/M1016); Input Validation/Secure Communication/Monitoring/Cloud Best Practices are generic additions not in the retrieved KB mitigation text
3,objective,What detection methods exist for T1078 (Valid Accounts)?,cloud,3,KB's Detection section for T1078 is an empty stub (just placeholder analytic IDs, no real content); model instead relabeled T1078 MITIGATION entries (M1026/M1015/M1013/M1027/M1047) as detection methods and added generic SIEM/audit knowledge not present in KB
4,objective,What platforms are affected by T1078 (Valid Accounts)?,cloud,1,Missed the KB's actual Platforms field entirely (Containers/ESXi/IaaS/etc) answering a different framing instead; cited group examples are accurate except the SolarWinds/APT29 forged-SAML-token detail belongs to T1550's KB text not T1078's (T1078's own SolarWinds line just says compromised credentials) - cross-technique contamination
5,objective,Describe Phishing (T1566) in one paragraph.,social,0,All 10 named groups (AppleJeus Axiom GOLD SOUTHFIELD Hikit INC Ransom Kimsuky MuddyWater Royal Sea Turtle VOID MANTICORE) verified present in KB
6,objective,What data sources are needed to detect Phishing (T1566)?,social,2,Only Email Logs and loosely Behavioral/Network analytics trace to KB's actual analytic descriptions (AN0188-AN0193); User Reports/URL Reputation/Phishing Databases/Social Media monitoring/Security Intelligence Feeds are generic additions not in KB, and User Training is a mitigation (M1017) mislabeled as a detection data source
7,objective,What is the description of technique T1059?,network,0,ArcaneDoor and CHOPSTICK examples both verified accurate against KB text
8,objective,List the mitigations available for T1059 (Command and Scripting Interpreter).,network,3,Only Least Privilege(~M1026) and Anti-Malware(~M1049) match KB's actual mitigation list; Sandboxing/Code Review/Monitoring/Security Training/Patching/Network Segmentation/Secure Scripting Languages/Automated Detection are not in the KB's T1059 mitigation entries (missed real ones like Code Signing M1045 Disable Feature M1042 Execution Prevention M1038)
9,objective,What tactics is T1550 (Use Alternate Authentication Material) associated with?,network,1,FoggyWeb and SolarWinds/APT29 facts both accurate per KB but these are procedure examples not tactics - conceptual mislabeling not factual fabrication
10,objective,Are there any known examples of Use Alternate Authentication Material (T1550) being used by adversaries?,network,0,FoggyWeb and APT29/SolarWinds forged SAML details verified exact match to KB text
11,subjective,"As a web application security engineer, what techniques should I prioritize defending against for a public-facing e-commerce site? Consider T1190 (Exploit Public-Facing Application).",web,2,Only Software Updates/Security Testing/Access Controls loosely map to KB's T1190 mitigation list; MFA/HTTPS/Logging/Incident Response Plan are generic additions not sourced from the retrieved KB mitigation text
12,subjective,"A SOC analyst notices unusual API calls from a compromised IAM key. What ATT&CK techniques might be in play, and how would Valid Accounts (T1078) feature in this scenario?",cloud,0,M1047 Audit M1026/M1036 credential policy MFA/M1032 all real KB entries; synthesis is reasonable and grounded
13,subjective,"How would an attacker use phishing (T1566) to gain initial access, and what subsequent techniques might they use for execution?",social,2,Misapplies KB mitigations as attacker actions - frames M1047 Audit and M1049 Antivirus/Antimalware (both defensive countermeasures in KB) as things the attacker does; also pulls Escape to Host from T1190's KB text into an ungrounded phishing context
14,subjective,Your organization received a targeted phishing campaign. What detection methods across phishing (T1566) and command execution (T1059) should you implement?,social,1,Core grounded in real KB items (DMARC/SPF/DKIM=M1054 User Training=M1017 interpreter execution monitoring~AN1428-1432) with a few generic embellishments (Phishing Simulation Tools File Integrity Monitoring) not explicit in KB
15,subjective,An attacker has exploited a public-facing application (T1190). How would they use Valid Accounts (T1078) and Alternate Authentication Material (T1550) for lateral movement?,web,0,2015 Ukraine/Sandworm 3CX/AppleJeus SolarWinds/APT29 forged SAML and M1013 token binding all verified exact matches correctly attributed to the right techniques this time
16,subjective,What is the difference between using Valid Accounts (T1078) in cloud vs on-premise environments? How should detection differ?,cloud,3,KB has no cloud-vs-onprem comparative content for T1078 at all (just a flat list of group examples and mitigations) - the entire multi-tenancy/IAM-misconfig/physical-access framework is external knowledge presented as if grounded in the provided KB
17,subjective,How should an organization detect and respond to credential access when an attacker uses Alternate Authentication Material (T1550) after initial compromise?,network,0,M1036/M1013/M1015/M1047/M1027/M1026 and FoggyWeb all trace directly line-by-line to T1550's actual KB mitigation section
18,subjective,Compare the mitigations for T1190 (Exploit Public-Facing Application) vs T1566 (Phishing). Which is harder to defend against and why?,general,2,User Education/Email Filtering trace to KB's real T1566 mitigations but MFA and Secure Communication Channels are not in T1566's KB mitigation list (MFA is actually T1078's M1032 - cross-technique contamination)
19,subjective,An attacker uses Command and Scripting Interpreter (T1059) after gaining access via a phishing campaign. Describe the full kill chain from initial access to execution.,network,0,MuddyWater phishing email address APT37 Ruby scripts CHOPSTICK Bandook Empire and FIN5 automated scripts all verified exact matches to KB text
20,subjective,"If you had a limited security budget, which 2 mitigations across these 5 techniques would give the best coverage? Justify your choices using the MITRE ATT&CK knowledge base.",general,1,M1013 and M1015 correctly sourced from T1550's KB mitigations with accurate SolarWinds justification; one unsupported extrapolation claiming SID Filtering also helps against T1190 which the KB never states
